product_name,brand,product_type,texture_type,hex_color,shade_name
Unicorn Embossed Lip 05,Flower Knows,lipstick,Dewy Balm,#B45258,Black Tea
Better Than Cheek 01,Romand,blush,Powder Blush,#E8A6A1,Tangerine Chip
Better Than Cheek 02,Romand,blush,Powder Blush,#E59B9E,Peach Chip
Better Than Cheek 03,Romand,blush,Powder Blush,#D98B94,Blueberry Chip
Better Than Cheek N02,Romand,blush,Powder Blush,#D8988C,Nudy Chip
Face Blush,3CE,blush,Powder Blush,#E2958D,Mono Pink
Face Blush,3CE,blush,Powder Blush,#E69F8A,Rose Beige
Face Blush,3CE,blush,Powder Blush,#D98A7F,Nude Peach
Face Blush,3CE,blush,Powder Blush,#C9757B,City Push
Pure Blushed Sunshine 01,Peripera,blush,Powder Blush,#E6A299,Calm Pink
Pure Blushed Sunshine 02,Peripera,blush,Powder Blush,#E8A68C,Milky Peach
Pure Blushed Sunshine 07,Peripera,blush,Powder Blush,#D5838B,Milked Tea Ennui
Better Than Eyes 01,Romand,eyeshadow,Matte Eyeshadow,#C8957F,Dry Mango Tulip
Better Than Eyes 02,Romand,eyeshadow,Matte Eyeshadow,#B88276,Dry Rose
Better Than Eyes 03,Romand,eyeshadow,Matte Eyeshadow,#A87565,Dry Ragras
Multi Eye Color Palette,3CE,eyeshadow,Matte Eyeshadow,#C28B78,Overtake
Multi Eye Color Palette,3CE,eyeshadow,Matte Eyeshadow,#B27A68,Dear Nude
Multi Eye Color Palette,3CE,eyeshadow,Matte Eyeshadow,#A26958,Some Def
